Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
University of Illinois,University of Illinois Urbana-Champaign,1301 South Oak Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1947,1947,3200,1,1,0,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2301 South Lincoln Avenue,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1926,1926,20250,3,3,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2301 South Lincoln Avenue,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1926,1926,10923,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2301 South Lincoln Avenue,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1910,1910,8450,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1949,1949,9600,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3305 South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1966,1966,5863,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1963,1963,1000,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1963,1963,1512,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1964,1964,5030,1,1,0,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1964,1964,1392,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1978,1978,720,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1964,1964,336,1,1,0,Unusual,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1966,1966,704,1,1,0,Industrial,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1968,1968,2910,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3105 South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,0,0,2000,1,1,0,Unusual,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1910 Griffith,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1975,1975,3528,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,411 St. Mary's Road,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1926,1926,12624,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,Hazelwood Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1929,1929,12059,5,4,1,Unusual,Unusual,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1201 St. Mary's Road,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1910,1910,5695,3,2,1,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1201 East St. Mary's Road,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1910,1910,5655,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1201 East St. Mary's Road,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1910,1910,10044,2,2,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,East St. Mary's Road,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1917,1917,4896,4,3,1,Unusual,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,3105 South Race Street,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1967,1967,7434,2,2,0,Unusual,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2911 South Lincoln Avenue,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,2002,2002,5760,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2909 South Lincoln Avenue,Urbana,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,2002,2002,5760,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,60 Hazelwood Drive,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,2003,2003,50840,3,3,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1206 West Gregory Drive,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,2006,2006,180000,6,5,1,Education,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,301 North Goodwin,Urbana,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,2005,2005,140000,4,4,0,Business,Education,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1985,1985,3045,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1967,1967,10519,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1967,1967,8349,1,1,0,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1967,1967,10145,1,1,0,Assembly,Assembly,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1967,1967,11700,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1967,1967,11700,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1967,1967,11700,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1985,1985,4893,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1987,1987,5513,1,1,0,Business,Business,Not provided
University of Illinois,University of Illinois Urbana-Champaign,2204 Griffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1989,1989,4992,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,University Of Illinois,Champaign,61801,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1940,1940,341100,2,1,1,Industrial,Industrial,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1910 South Giriffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1977,1977,3360,1,1,0,Storage,Storage,Industrial
University of Illinois,University of Illinois Urbana-Champaign,1910 South Giriffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1975,1975,3540,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1910 South Giriffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1979,1979,3696,1,1,0,Storage,Storage,Industrial
University of Illinois,University of Illinois Urbana-Champaign,1910 South Giriffith Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1981,1981,3360,1,1,0,Storage,Storage,Not provided
University of Illinois,University of Illinois Urbana-Champaign,1 East Hazelwood Drive,Champaign,61820,Champaign,13,Rodney L. Davis,103,Ammons Carol,52,Scott M. Bennett,In Use,1990,1989,48533,2,2,0,Industrial,Business,Not provided
Department of Transportation,Champaign Maintenance Storage Facility - Champaign County,201 Eisner Road,Champaign,61822,Champaign,13,Rodney L. Davis,104,Hays Chad,52,Scott M. Bennett,In Use,1959,1959,6836,1,1,0,Industrial,Industrial,Business
Department of Transportation,Champaign Maintenance Storage Facility - Champaign County,201 Eisner Road,Champaign,61822,Champaign,13,Rodney L. Davis,104,Hays Chad,52,Scott M. Bennett,In Use,1959,1959,8856,1,1,0,Industrial,Industrial,Not provided
Department of Transportation,Champaign Maintenance Storage Facility - Champaign County,201 Eisner Road,Champaign,61822,Champaign,13,Rodney L. Davis,104,Hays Chad,52,Scott M. Bennett,In Use,1959,1959,3000,1,1,0,Storage,Storage,Not provided
Department of Transportation,Leverett Road/North I-57 - Champaign,"R.r. 4, Box 85",Champaign,61820,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1968,1968,8640,1,1,0,Industrial,Industrial,Business
Department of Transportation,Leverett Road/North I-57 - Champaign,"R.r. 4, Box 85",Champaign,61820,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1968,1968,5040,1,1,0,Storage,Storage,Not provided
Department of Transportation,Leverett Road/North I-57 - Champaign,"R.r. 4, Box 85",Champaign,61820,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1985,1985,3024,1,1,0,Storage,Storage,Not provided
Department of Transportation,Leverett Road/North I-57 - Champaign,"R.r. 4, Box 85",Champaign,61820,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1996,1996,3116,1,1,0,Storage,Storage,Not provided
Department of Transportation,Monticello Maintenance Storage Facility,Route 47,Monticello,61856,Piatt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,1976,1976,8320,1,1,0,Storage,Storage,Business
Department of Transportation,Monticello Maintenance Storage Facility,Route 47,Monticello,61856,Piatt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,1976,1976,3600,1,1,0,Storage,Storage,Not provided
